Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-02-26,113.88,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-02-27,116.46,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-02-28,115.81,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-02-29,115.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-01,111.96,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-04,113.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-05,112.6,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-06,112.19,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-07,112.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-08,111.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-11,105.12,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-12,105.05,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-13,101.75,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-14,100.38,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-15,98.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-18,99.67,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-19,102.24,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-20,101.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-21,104.17,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-22,103.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-25,103.62,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-26,100.3,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-27,98.91,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-28,97.58,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-03-29,94.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-01,97.3,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-02,97.23,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-03,96.2,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-07,95.59,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-08,100.74,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-09,103.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-10,103.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-11,104.79,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-12,107.48,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-15,107.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-16,105.66,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-17,110.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-18,110.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-19,110.25,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-22,109.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-23,107.34,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-24,110.81,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-25,109.54,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-26,109.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-28,108.62,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-29,108.84,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-04-30,108.71,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-06,111.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-07,110.98,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-08,108.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-09,108.36,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-10,109.18,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-11,108.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-13,110.88,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-14,108.32,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-15,107.23,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-16,109.94,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-17,110.5,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-20,111.11,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-21,111.71,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-22,112.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-23,111.26,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-24,111.24,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-27,110.58,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-28,109.29,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-29,109.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-30,108.19,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-05-31,108.05,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-03,105.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-04,103.98,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-05,102.84,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-06,103.9,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-07,104.12,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-11,100.18,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-12,101.03,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-13,101.49,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-14,102.08,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-17,100.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-18,102.1,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-19,102.45,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-20,102.4,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-21,100.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-24,98.96,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-25,99.42,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-26,102.06,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-27,101.26,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-06-28,101.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-01,103.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-02,103.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-03,106.1,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-04,106.13,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-05,104.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-08,101.9,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-09,102.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-10,101.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-11,103.08,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-12,102.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-15,103.05,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-16,101.9,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-17,100.09,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-18,100.74,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-19,99.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-22,98.89,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-23,96.07,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-24,96.23,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-25,95.36,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-26,97.02,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-29,96.9,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-30,93.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-07-31,95.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-01,97.11,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-02,99.55,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-05,99.58,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-06,97.91,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-07,96.6,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-08,94.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-09,95.73,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-12,94.95,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-13,95.2,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-14,92.46,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-15,89.25,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-16,87.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-19,88.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-20,88.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-21,92.49,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-22,91.32,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-23,90.66,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-26,93.96,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-27,94.96,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-28,94.43,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-29,95.46,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-08-30,94.89,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-02,90.75,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-03,88.09,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-04,87.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-05,86.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-06,87.19,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-09,86.11,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-10,85.1,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-11,87.33,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-12,89.04,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-13,88.32,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-14,88.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-18,85.96,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-19,88.37,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-20,87.26,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-23,85.01,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-24,89.48,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-25,90.14,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-26,91.73,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-27,94.12,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-29,99.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-09-30,103.02,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-08,98.6,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-09,97.77,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-10,97.4,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-11,98.63,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-12,101.53,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-14,99.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-15,98.43,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-16,97.12,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-17,92.89,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-18,95.13,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-21,95.95,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-22,94.85,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-23,92.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-24,93.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-25,95.54,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-28,97.17,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-29,96.06,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-30,96.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-10-31,96.49,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-01,95.52,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-04,96.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-05,98.36,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-06,96.33,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-07,98.77,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-08,95.67,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-11,93.26,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-12,93.67,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-13,93.38,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-14,92.69,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-15,90.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-18,95.13,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-19,93.23,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-20,94.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-21,95.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-22,94.28,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-25,95.51,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-26,95.6,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-27,96.57,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-28,95.96,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-11-29,97.26,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-02,97.77,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-03,98.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-04,98.24,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-05,97.03,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-06,96.63,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-09,97.79,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-10,97.79,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-11,98.03,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-12,98.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-13,97.45,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-16,97.73,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-17,97.34,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-18,95.53,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-19,95.14,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-20,94.13,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-23,95.11,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-24,95.55,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-25,94.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-26,94.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-27,93.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-30,94.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2024-12-31,95.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-02,95.87,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-03,93.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-06,92.53,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-07,92.48,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-08,92.28,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-09,93.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-10,93.54,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-13,94.81,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-14,96.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-15,95.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-16,97.1,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-17,97.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-20,97.5,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-21,98.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-22,98.14,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-23,97.93,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-24,99.67,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-26,99.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-27,99.97,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-05,98.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-06,99.83,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-07,99.97,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-08,100.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-10,100.76,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-11,99.45,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-12,100.7,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-13,99.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-14,100.57,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-17,100.56,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-18,101.24,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-19,101.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-20,102.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-21,102.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-24,102.32,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-25,100.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-26,100.12,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-27,99.11,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-28,98.5,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-03,96.06,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-04,96.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-05,95.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-06,95.4,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
