Date,Price,Commodity,Units,Type,Data Source,Ticker
2025-01-26,99.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-01-27,99.97,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-05,98.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-06,99.83,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-07,99.97,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-08,100.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-10,100.76,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-11,99.45,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-12,100.7,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-13,99.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-14,100.57,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-17,100.56,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-18,101.24,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-19,101.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-20,102.72,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-21,102.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-24,102.32,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-25,100.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-26,100.12,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-27,99.11,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-02-28,98.5,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-03,96.06,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-04,96.31,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-05,95.35,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-06,95.4,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-07,95.7,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-10,94.99,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-11,95.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-12,95.28,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-13,96.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-14,97.83,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-17,96.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-18,96.04,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-19,94.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-20,94.37,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-21,94.23,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-24,96.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-25,95.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-26,96.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-27,97.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-28,96.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-31,95.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
