Date,Price,Commodity,Units,Type,Data Source,Ticker
2024-02-26,117.1,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-02-27,119.79,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-02-28,118.23,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-02-29,118.52,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-01,115.84,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-04,117.7,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-05,117.57,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-06,115.71,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-07,118.86,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-08,116.6,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-11,109.03,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-12,111.0,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-13,107.78,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-14,105.43,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-15,105.1,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-18,104.58,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-19,109.19,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-20,107.75,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-21,110.71,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-22,109.38,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-25,109.5,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-26,105.81,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-27,102.32,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-28,103.51,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-03-29,103.74,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-01,102.18,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-02,103.5,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-03,98.35,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-04,97.93,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-05,98.25,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-08,103.89,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-09,108.03,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-10,107.53,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-11,107.51,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-12,111.31,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-15,111.19,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-16,109.86,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-17,115.29,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-18,115.82,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-19,115.29,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-22,115.66,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-23,112.41,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-24,117.66,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-25,117.55,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-26,116.68,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-29,115.83,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-04-30,115.54,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-05-01,113.39,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-05-02,117.09,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-05-03,117.09,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-05-06,119.5,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
2024-05-07,118.34,Iron Ore,USD/MT,Spot,Bloomberg,CN62SPOT KLSH Index
